Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Benchmark,sim_ticks,BCE
16,1,8,16,1024,64,2,fmm,13919181645,112
16,1,8,16,1024,32,2,fmm,13921047919,112
16,1,8,16,1024,16,2,fmm,13935232173,112
16,1,8,16,1024,8,2,fmm,13947258637,112
16,1,8,16,1024,4,2,fmm,13962453194,112
16,1,8,16,1024,2,2,fmm,14005174578,112
8,1,16,2,2048,32,3,fmm,14906121250,136
8,1,16,2,2048,64,3,fmm,14907052500,136
8,1,16,2,2048,16,3,fmm,14907812500,136
8,1,16,2,2048,8,3,fmm,14916236250,136
8,1,16,2,2048,4,3,fmm,14929521250,136
8,1,16,2,1024,32,2,fmm,15004766250,104
8,1,16,2,1024,16,2,fmm,15038951250,104
8,1,16,2,2048,2,3,fmm,15046251250,136
8,1,16,2,1024,8,2,fmm,15046588750,104
8,1,8,4,2048,32,3,fmm,15067140000,104
8,1,8,4,2048,64,3,fmm,15070822500,104
8,1,8,4,2048,16,3,fmm,15075732500,104
8,1,8,4,2048,8,3,fmm,15077040000,104
8,1,16,2,1024,4,2,fmm,15078870000,104
8,1,16,2,1024,64,3,fmm,15080120000,104
8,1,8,4,2048,4,3,fmm,15086843750,104
8,1,8,4,1024,32,2,fmm,15187795000,72
8,1,8,2,2048,32,3,fmm,15188270000,104
8,1,8,2,2048,64,3,fmm,15189523750,104
8,1,8,2,2048,8,3,fmm,15193835000,104
8,1,8,4,2048,2,3,fmm,15198218750,104
8,1,8,2,2048,16,3,fmm,15199735000,104
8,1,8,4,1024,16,2,fmm,15204597500,72
8,1,8,2,2048,4,3,fmm,15215467500,104
8,1,8,4,1024,8,2,fmm,15218241250,72
8,1,16,2,1024,2,2,fmm,15229442500,104
8,1,8,4,1024,4,2,fmm,15236573750,72
8,1,8,4,1024,64,3,fmm,15267641250,72
8,1,8,2,1024,32,2,fmm,15288173750,72
8,1,8,2,1024,16,2,fmm,15303881250,72
8,1,8,2,1024,8,2,fmm,15313342500,72
8,1,8,2,2048,2,3,fmm,15317622500,104
