Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
4,0.5,64,32,2048,64,2,100
4,0.5,64,64,1024,2,2,68
4,0.5,64,64,1024,4,2,68
4,0.5,64,64,1024,8,2,68
4,0.5,64,64,1024,16,2,68
4,0.5,64,64,1024,32,2,68
4,0.5,64,64,1024,64,2,68
4,0.5,64,64,2048,2,2,100
4,0.5,64,64,2048,4,2,100
4,0.5,64,64,2048,8,2,100
4,0.5,64,64,2048,16,2,100
4,0.5,64,64,2048,32,2,100
4,0.5,64,64,2048,64,2,100
4,0.5,128,2,1024,2,2,100
4,0.5,128,2,1024,4,2,100
4,0.5,128,2,1024,8,2,100
4,0.5,128,2,1024,16,2,100
4,0.5,128,2,1024,32,2,100
4,0.5,128,2,1024,64,2,100
4,0.5,128,4,1024,2,2,100
4,0.5,128,4,1024,4,2,100
4,0.5,128,4,1024,8,2,100
4,0.5,128,4,1024,16,2,100
4,0.5,128,4,1024,32,2,100
4,0.5,128,4,1024,64,2,100
4,0.5,128,8,1024,2,2,100
4,0.5,128,8,1024,4,2,100
4,0.5,128,8,1024,8,2,100
4,0.5,128,8,1024,16,2,100
4,0.5,128,8,1024,32,2,100
4,0.5,128,8,1024,64,2,100
4,0.5,128,16,1024,2,2,100
4,0.5,128,16,1024,4,2,100
4,0.5,128,16,1024,8,2,100
4,0.5,128,16,1024,16,2,100
4,0.5,128,16,1024,32,2,100
4,0.5,128,16,1024,64,2,100
4,0.5,128,32,1024,2,2,100
4,0.5,128,32,1024,4,2,100
4,0.5,128,32,1024,8,2,100
4,0.5,128,32,1024,16,2,100
4,0.5,128,32,1024,32,2,100
4,0.5,128,32,1024,64,2,100
4,0.5,128,64,1024,2,2,100
4,0.5,128,64,1024,4,2,100
4,0.5,128,64,1024,8,2,100
4,0.5,128,64,1024,16,2,100
4,0.5,128,64,1024,32,2,100
4,0.5,128,64,1024,64,2,100
8,1.1,2,2,1024,2,3,41
8,1.1,2,2,1024,4,3,41
8,1.1,2,2,1024,8,3,41
8,1.1,2,2,1024,16,3,41
8,1.1,2,2,1024,32,3,41
8,1.1,2,2,1024,64,3,41
8,1.1,2,2,2048,2,3,73
8,1.1,2,2,2048,4,3,73
8,1.1,2,2,2048,8,3,73
8,1.1,2,2,2048,16,3,73
8,1.1,2,2,2048,32,3,73
8,1.1,2,2,2048,64,4,73
8,0.8,2,4,1024,2,2,41
8,0.8,2,4,1024,4,2,41
8,0.8,2,4,1024,8,2,41
8,0.8,2,4,1024,16,2,41
8,0.8,2,4,1024,32,2,41
8,0.8,2,4,1024,64,3,41
8,0.8,2,4,2048,2,3,73
8,0.8,2,4,2048,4,3,73
8,0.8,2,4,2048,8,3,73
8,0.8,2,4,2048,16,3,73
8,0.8,2,4,2048,32,3,73
8,0.8,2,4,2048,64,3,73
8,0.8,4,2,1024,2,2,42
